노선번호,노선형태,노선구분,노선유형,기점ID,종점ID,첨두시배차간격,비첨두시대차간격,노선총길이,노선개정번호,노선경유개정번호,관할관청,노선표준ID,운행개시일,운행종료일,BCP_ID,노선명,노선ID
53번,2,2,11,89,4041,0,0,29071.5,1001,1001,구미시,355002313,20110101,20501231,1003,구미터미널건너_5주공_제석리_김천,5322
410-3번,3,0,13,332,187,0,0,40185.3,1001,1001,구미시,355002201,20110101,20501231,1003,(구 16번)청마루_구미역_오태2동_사곡_구미역_원호동,410-330
53번,2,1,11,89,4041,0,0,31735.2,1001,1001,구미시,355002094,20110101,20501231,1001,구미터미널_도량2동_현대A_구미대학교_김천,5321
411-5번,3,2,13,332,79,171,171,32568.1,1001,1001,구미시,355000075,20110101,20501231,1003,(구17번)청마루_원호동_구미역_오태1동_임은동_구미역,411-532
53-1번,2,1,13,89,4041,116,116,29609.1,1001,1001,구미시,355000182,20110101,20301231,1003,구미터미널건너_아포농공단지경유_김천,53-121
55번,2,0,13,607,4041,96,96,35643.1,1001,1001,구미시,355000186,20110101,20301231,1003,오태1동_구미역_김천,5520
553번,2,0,11,89,4041,110,110,30403.7,1001,1001,구미시,355000305,19000101,21000201,1001,구미터미널_대신_김천(구미)역_김천,55320
555-1번,2,0,12,89,4041,89,89,26684.7,1001,1001,구미시,355002008,19000101,19000101,1003,구미터미널_김천,555-120
5000번,1,0,12,4042,91,54,54,30481.9,1001,1001,구미시,355002001,19000101,20200101,1003,김천_김천(구미)역_구미터미널,500010
51-1번,1,0,13,4042,132,133,133,43180.3,1001,1001,구미시,355000314,20110101,20301231,1003,김천_의동_금오공대,51-110
52번,1,0,13,4042,435,0,0,33629.7,1001,1001,구미시,355000177,20110101,20301231,1003,김천_선산,5210
5200번,1,0,12,4042,551,156,156,40581.2,1001,1001,구미시,355002005,19000101,20500101,1003,김천_김천(구미)역_구미터미널옆_금오공대_양포동행정복지센터건너,520010
53번,1,0,13,4042,91,33,33,27618.3,1001,1001,구미시,355000179,20110101,20301231,1003,김천_5주공_구미터미널앞,5310
53-1번,1,1,13,4042,91,127,127,29623,1001,1001,구미시,355000181,20110101,20301231,1003,김천_아포농공단지경유_구미터미널앞,53-111
53번,1,1,11,4042,91,148,148,29159.8,1001,1001,구미시,355002095,20110101,20501231,1001,김천터미널_제석리_5주공_구미역_구미종합터미널,5311
55번,1,0,13,4042,607,96,96,35063.9,1001,1001,구미시,355000185,20110101,20301231,1003,김천_구미역_오태1동,5510
553번,1,0,12,4042,91,81,81,30376,1001,1001,구미시,355000304,20110101,20301231,1003,김천_김천(구미)역_대신_구미터미널,55310
555-1번,1,0,12,4042,91,93,93,26731.2,1001,1001,구미시,355002007,20020201,20300101,1003,김천_구미터미널,555-110
557번,1,0,12,4042,132,121,121,33327.4,1001,1001,구미시,355000308,20110101,20301231,1003,김천_금오공대,55710
57번,1,0,13,4042,132,64,64,34239.1,1001,1001,구미시,355000191,20110101,20301231,1003,김천_5주공_금오공대,5710
57번,1,1,13,4042,132,0,0,35731.4,1001,1001,구미시,355002311,20110101,20301231,1003,김천_제석리_5주공_금오공대,5711
